time,pv_kwh,pv_used_kwh,curtailed_kwh,load_kwh,gen_dc_kwh,genset_h,starts,fuel_l,wet_stack_h,unmet_kwh,discharge_kwh,soc_min,cycles,refills
2005,9435.223521556205,8356.995014526256,1078.2285070299506,10763.907700000002,2756.0190545762653,302.1950717737133,107,998.1594794949924,0.0,0.0,6939.351535999422,0.12417425556580898,142.7850110287947,3
2006,9073.280006560619,8452.971258423979,620.3087481366406,10777.8382,2673.391985930425,293.13508617658175,104,968.2340725226487,0.0,0.0,6820.806712510796,0.12425286641427244,140.34581712985178,2
2007,9490.333184995572,8453.489265093696,1036.843919901875,10792.6802,2703.0222660128397,296.3840203961447,104,978.9654007024174,0.0,0.0,6778.0880358680915,0.12480523517374417,139.46683201374677,2
2008,9109.903620229521,8388.168714407513,721.7349058220086,10819.178300000001,2776.832685601217,304.47726815802815,107,1005.6976433098505,0.0,0.0,6863.57972250399,0.12506242758551142,141.2259202161315,3
2009,8486.794123554706,7806.738199261476,680.0559242932295,10778.2271,3321.5814941615395,364.2084971668355,129,1202.9917027631839,0.0,0.0,6952.621315872488,0.1239341118236232,143.05805176692363,3
2010,8413.983494807051,7718.861478320808,695.1220164862442,10781.092200000001,3425.3985123074085,375.5919421389703,131,1240.591566459023,0.0,0.0,6897.483088129808,0.12416014495671979,141.92352033188905,3
2011,9907.838417627421,8989.199484696786,918.6389329306361,10787.792800000001,2158.519646177843,236.67978576511436,84,781.7605044968928,0.0,0.0,6778.054840726999,0.12473415434965059,139.46614898615226,2
2012,9799.773873318389,8717.615853039772,1082.1580202786174,10845.8358,2471.1112507711423,270.9551810056077,95,894.973173624583,0.0,0.0,6769.375695020392,0.12434041830751096,139.28756574116036,2
2013,9159.917710944248,8378.033117976098,781.8845929681495,10780.566400000002,2764.8883064940896,303.16757746645726,108,1001.371695267995,0.0,0.0,6873.664979128406,0.12429942926734563,141.43343578453513,3
2014,8417.453051415423,7784.883130940875,632.5699204745478,10755.3886,3319.6465874180585,363.99633633969944,130,1202.2909291220374,0.0,0.0,6871.058092749584,0.12441874781066568,141.3797961471108,3
2015,9779.185233069606,8982.465590499276,796.7196425703294,10805.4025,2185.1372593789843,239.59838370383605,85,791.4007219308523,0.0,0.0,6821.7218079885015,0.12437755481839395,140.36464625490746,2
2016,8904.204994610098,8221.00665955601,683.1983350540895,10804.4104,2925.9313696599224,320.8258080767459,114,1059.6973660716758,0.0,0.0,6903.016317722405,0.12429719078995229,142.0373727926421,2
2017,9747.131579397874,8759.751463664223,987.3801157336517,10800.549200000001,2410.0790472578474,264.26305342739556,93,872.8688734420034,0.0,0.0,6829.454686191876,0.12500697370908898,140.5237589751415,2
2018,8915.635295565611,8320.046413933705,595.5888816319072,10780.577200000002,2821.336597090491,309.3570830143083,109,1021.8158196533212,0.0,0.0,6893.108441940575,0.12417421638175019,141.8335070358143,3
2019,9021.102738143203,8256.450385795873,764.6523523473288,10797.632000000001,2905.9065823050946,318.630107708892,113,1052.4449012202795,0.0,0.0,6869.319614682275,0.12416291126089647,141.34402499346245,3
2020,9619.839013444265,8815.361396202603,804.4776172416624,10811.8057,2337.2929723836874,256.28212416487804,91,846.5076222415668,0.0,0.0,6821.601080549401,0.1242023522845059,140.36216215122226,2
2021,9516.027444277768,8543.597663706476,972.4297805712911,10802.382500000002,2610.1780649698367,286.2037351940611,102,945.339610186444,0.0,0.0,6846.255837920184,0.12425308601702842,140.8694616856005,2
2022,9671.633565887223,8653.733819650715,1017.8997462365073,10802.9074,2511.603565789797,275.3951278278286,97,909.6384525222218,0.0,0.0,6804.90763626421,0.12431071830892299,140.01867564329652,2
2023,9138.005839374688,8406.037312526798,731.9685268478894,10793.078500000001,2740.2874937536417,300.4701199291274,106,992.4619112810572,0.0,0.0,6857.464123609871,0.12442906369853066,141.10008484793977,3
