year,month,pv_kwh,pv_used_kwh,load_kwh,gen_dc_kwh,genset_h,fuel_l
2005,1,633.228107888554,623.1566862684048,910.1750000000001,289.0800437497529,31.69737321817467,104.69738426609207
2005,2,638.2565531507854,567.224181246135,823.2,319.9878604596013,35.08638820828962,115.8914034758657
2005,3,790.5175480512312,711.4872821545631,910.1750000000001,231.37085190068623,25.369610954022615,83.7965937572262
2005,4,978.1337068720745,781.95498231473,882.2287000000001,129.42105976612646,14.19090567611036,46.87299147563724
2005,5,1042.8222382124152,863.1768965485386,918.8692000000001,74.55817762909324,8.175238775119873,27.003061408729277
2005,6,1106.6767521411593,909.7772989446768,902.4328,26.627799317251647,2.919714837417944,9.643906584198662
2005,7,1215.0472609262015,972.1385021478607,945.9388,0.0,0.0,0.0
2005,8,1016.2103144669752,885.0191538212234,933.0459000000001,72.08220961463157,7.903751054235918,26.10632923974894
2005,9,899.7747798256236,830.1827476121271,891.4193,71.42599225986297,7.8317973969148,25.868664129203427
2005,10,806.6595034205562,744.442091723738,913.4682,219.35587096870898,24.05217883428827,79.44507554355822
2005,11,542.7956469925826,528.3090774906318,882.0000000000001,366.5810671076842,40.195292446018,132.7662689883625
2005,12,382.47181840875237,382.47181840875237,911.4000000000001,564.4601222283912,61.89255726188501,204.43299216804442
2006,1,567.5237101048792,567.5237101048792,911.4000000000001,395.079523100056,43.32012314693597,143.08767948533395
2006,2,541.9976566650837,528.9008672549884,823.2,309.60751716652,33.94819267176754,112.13190912795946
2006,3,596.5058896917675,568.221612580551,910.1750000000001,381.5608888974358,41.83781676506972,138.1915765876545
2006,4,835.4524338499472,728.2539695386123,882.5597,178.91250195934893,19.61759889905142,64.79752363626073
2006,5,1023.0232641870846,907.4242288735352,919.1614000000001,54.2443543869843,5.947845875765823,19.645915165408322
2006,6,980.3643384205997,857.2875708886907,907.0761,74.80182510065718,8.201954506651008,27.091304279544236
2006,7,992.8089494074817,914.0237072148913,952.0439,50.281756377413245,5.513350479979523,18.21076370659903
2006,8,938.3522485827322,875.9472109929306,932.722,98.88713838546073,10.842887980861924,35.814387573149986
2006,9,913.3781484734883,822.0165276415129,893.2084,98.9580797540894,10.850666639702785,35.84008071901829
2006,10,860.0660196077974,817.8039346657057,914.532,119.14539800919786,13.064188378201521,43.15141009769593
2006,11,636.4881438056648,630.5626619892337,882.0000000000001,283.2047822054767,31.053155943582972,102.56951508638011
2006,12,555.6112867670273,555.6112867670273,911.4000000000001,364.4782229657332,39.964717430453206,132.00467272483027
2007,1,452.3518891698816,452.3518891698816,911.4000000000001,523.041216206471,57.35101054895515,189.4321257526094
2007,2,473.1372374063934,455.4222170487343,823.2,392.27714688629413,43.012845053321726,142.07273063066873
2007,3,660.115806522347,590.2582783782495,910.1750000000001,353.5783116518696,38.769551716213776,128.05700415355457
2007,4,1101.7413578714327,917.7315990360954,884.0021,0.0,0.0,0.0
2007,5,974.1726685891597,839.656320970244,920.5123000000001,104.43942036151418,11.451690829113398,37.825281829495765
2007,6,1059.4833205968855,912.3592123655054,908.0508,26.724762991938363,2.9303468192914877,9.679024342508246
2007,7,1216.710838076137,984.3313735666991,959.195,0.0,0.0,0.0
2007,8,1085.1093664681596,931.3520573877108,950.3834,26.444949491198077,2.899665514385754,9.577683062668097
2007,9,904.2943948130066,833.2716799133719,887.5354000000001,102.39113955653103,11.227098635584543,37.083447008445916
2007,10,713.6655378512502,666.1957946672798,914.7258,250.88044437715408,27.5088206553897,90.8624682253781
2007,11,494.94340517313134,489.3831256534441,882.0000000000001,418.28376204410415,45.86444759255529,151.49166022995533
2007,12,618.7887154447876,618.7887154447876,911.4000000000001,342.5891393396202,37.56459861180046,124.07700753594698
2008,1,477.68160253480386,471.2124040808979,911.4000000000001,468.2370209120948,51.34177860878233,169.583450556281
2008,2,741.6541573041845,714.3385973358037,852.6,184.19629482353818,20.19696215170375,66.71117801623359
2008,3,652.9901088906436,613.7081974432764,910.1750000000001,338.0608305553629,37.068073525807335,122.43697013069695
2008,4,791.676503868972,715.7760016866332,882.1413000000001,172.38268545388618,18.901610247136645,62.432591422360424
2008,5,975.4046233957374,841.94198848843,918.4312000000001,127.34533165652367,13.963303909706543,46.12121594418222
2008,6,970.5079156696917,833.9761663166803,903.2947,94.99723780201721,10.416363794080835,34.405565259236695
2008,7,1086.5865275615727,922.7822433913565,945.0142000000001,48.939973607879224,5.366225176302547,17.72480437021144
2008,8,1163.5001812809999,980.3607578437577,954.027,0.0,0.0,0.0
2008,9,882.3840857730677,788.0482382407187,897.0666,128.72616983005426,14.11471160417262,46.62132014711562
2008,10,816.9191021962647,789.3050936442336,913.8408000000001,151.56356572648244,16.61881203141255,54.89243974012024
2008,11,516.4227107960131,516.4227107960131,882.1844000000001,387.86780836094016,42.52936495185748,140.47578120462015
2008,12,434.3060901872045,434.3060901872045,911.4000000000001,516.3091171513167,56.612841792907545,186.993931982634
2009,1,366.8330022739269,366.8330022739269,911.4000000000001,581.2344412846849,63.73184663209264,210.50822069388173
2009,2,570.1055212682423,552.8081525609821,823.2,313.2079348284697,34.342975310139224,113.43588814561137
2009,3,694.5285240046603,662.3837665418532,910.1750000000001,262.3283269148036,28.764070933640745,95.00859793232851
2009,4,758.3510256575477,695.4101053376229,882.5896,208.91049818660122,22.906852871337858,75.66202918108564
2009,5,1061.5747314976832,933.4633088903199,925.0450000000001,23.689052175604967,2.5974837911847555,8.579567673913282
2009,6,904.6412745096206,815.8284830168684,896.8931,124.27189643097354,13.626304433220785,45.008096461244406
2009,7,1147.5207124190008,977.4718884492172,945.5121,0.0,0.0,0.0
2009,8,1028.4767627451622,915.1288310656935,950.0811,53.038165799226526,5.815588355178348,19.20906456710424
2009,9,892.46983032818,858.2978341998182,895.7481,75.47883354058398,8.276187888221928,27.336499388369393
2009,10,693.0454028734359,675.960121880211,914.0311,265.2410438004212,29.083447785133906,96.06350935089684
2009,11,549.2631657882106,547.3041434388336,882.0000000000001,337.7618566256265,37.03529129666958,122.32868943445403
2009,12,317.8433466303661,317.8433466303661,911.4000000000001,635.2496671581736,69.6545687673436,230.071151383044
2010,1,515.6852365233023,515.6852365233023,911.4000000000001,441.3870987286563,48.39770819393162,159.85909676177414
2010,2,363.76605408481373,363.76605408481373,823.2,486.2334358194748,53.31506971704768,176.1012908835817
2010,3,756.1854016178036,696.8530064568586,910.1750000000001,242.25836408986672,26.563417115116966,87.73977168326513
2010,4,805.6833314884226,748.6464181520493,882.5398,184.3253954980215,20.21111792741464,66.75793497236957
2010,5,908.8097239831416,790.2222318371221,913.8752000000001,128.24146268206144,14.061563890576913,46.445771638572225
2010,6,982.758698674091,844.6492705013981,899.6973,102.08807558452851,11.193867936900057,36.97368500370018
2010,7,1165.1451224335713,971.0482711882975,949.2768,0.0,0.0,0.0
2010,8,1155.4054467766423,983.9361501080562,953.3961,0.0,0.0,0.0
2010,9,878.3193947257097,786.7695720712563,889.8963,126.76660811829626,13.899847381392135,45.91161710823462
2010,10,638.3092701917703,600.5972172983489,912.8251,322.76131796362984,35.39049539074889,116.89587871489783
2010,11,338.98913327122534,338.50091680740604,882.0261,574.0842590729194,62.947835424662216,207.91860791782366
2010,12,406.61545021211384,406.61545021211384,911.4000000000001,551.2169034432278,60.44044993895042,199.63663767713928
2011,1,476.5046161638268,476.3074961746679,911.4000000000001,466.7517301197893,51.178917776292685,169.04551629139098
2011,2,638.3613303726524,617.6080200952342,823.2,249.2114919899858,27.325821490130025,90.25801643709613
2011,3,795.208217186222,692.6030857456573,910.1750000000001,254.137877236562,27.865995311026538,92.04222693642097
2011,4,968.723178121689,836.4128632595707,882.9536,47.75202499675714,5.235967653153196,17.294559824051465
2011,5,1042.3653022415867,923.1538644330462,918.7436,53.146216971026256,5.827436071384458,19.248197932754724
2011,6,1036.4581955629183,910.9098644611844,904.5126,0.0,0.0,0.0
2011,7,1052.178299291903,924.9072919878404,941.7667,47.47015340774721,5.205060680674037,17.19247315737788
2011,8,1174.7944172668253,995.4739229709966,954.3878,0.0,0.0,0.0
2011,9,954.8015076152597,886.7123801532938,909.3203,51.213711535068725,5.615538545511923,18.54829398366059
2011,10,836.7761573848045,785.9220289471606,915.4734000000001,158.792308215982,17.41143730438399,57.510505035692574
2011,11,711.0181710220274,700.4643078605284,882.0000000000001,208.68572273144235,22.88220643985114,75.58062127102346
2011,12,477.7693617975974,477.7693617975974,911.4000000000001,449.80230535918264,49.32042821920862,162.90686896647696
2012,1,658.6751976036408,650.4908003305666,911.4000000000001,298.59511340354584,32.74069225916073,108.14349867419755
2012,2,457.0423961450842,439.94799858275894,852.6,444.82749111108575,48.77494420077695,161.1051187237784
2012,3,1103.4286647223187,957.0554129231248,910.3579000000001,0.0,0.0,0.0
2012,4,711.6821679934559,657.3865625854796,884.0142000000001,256.80384827616376,28.158316696947782,93.00777333234267
2012,5,1018.7448202997298,864.6113543715179,916.4531000000001,76.09031919975601,8.343236754359213,27.55796382500467
2012,6,1135.0223325477882,942.3121402776865,914.3071,0.0,0.0,0.0
2012,7,1168.2346500618746,964.6997126791152,962.3258,24.525711808643365,2.689222786035457,8.882584353874691
2012,8,1199.6862482979093,989.3784832432601,963.0338,0.0,0.0,0.0
2012,9,952.7750834319933,901.4589699971051,901.1325,24.33355559696691,2.668153025983214,8.812990297944555
2012,10,762.6009901728179,757.8758140364484,915.5986,157.880363119985,17.31144332455976,57.180221890212536
2012,11,433.9337696657119,433.9337696657119,882.0000000000001,490.32324452758496,53.76351365434046,177.58251479767
2012,12,431.96606286263506,431.96606286263506,911.4000000000001,525.6277035381114,57.63461661602099,190.36888518625113
2013,1,454.72694500211446,454.72694500211446,911.4000000000001,493.7022633156776,54.13402010040325,178.80630881648344
2013,2,516.044533791335,514.5219554953585,823.2,346.05094747591875,37.944182837271796,125.33078573523107
2013,3,596.3077169261971,537.0520240898934,910.1750000000001,385.45492865516576,42.26479480868046,139.6018980044294
2013,4,952.3726625847529,808.4747545150572,884.6536000000001,125.08724482605751,13.71570666952385,45.30339475691211
2013,5,876.4175388941187,773.8123699900128,916.6115000000001,145.3238865641723,15.93463668466802,52.632587837236784
2013,6,1061.7138263112834,904.1231853707128,899.8735,48.495961258704355,5.317539611700039,17.56399447500922
2013,7,1157.292115568913,975.2681827756041,948.8306,0.0,0.0,0.0
2013,8,1120.4389694458685,975.2563003055529,953.5718,0.0,0.0,0.0
2013,9,894.0546458914865,830.2056642262891,889.8739,78.39989812796728,8.59648005789115,28.394434130610158
2013,10,784.7977258659392,756.7240263062693,913.6682000000001,198.2384424747587,21.7366713239867,71.79688407013789
