time,pv_kwh,pv_used_kwh,curtailed_kwh,load_kwh,gen_dc_kwh,genset_h,starts,fuel_l,wet_stack_h,unmet_kwh,discharge_kwh,soc_min,cycles,refills
2005,9524.131089961807,8687.915129636665,836.2159603251426,10824.3529,2480.3540963567493,271.96865091631025,96,898.3206954508429,0.0,0.0,7062.446510596018,0.12427958464326223,145.3178294361321,2
2006,8857.93399615169,8584.573801106311,273.36019504537876,10839.478500000001,2623.707232535047,287.68719654989553,103,950.2395279981397,0.0,0.0,6980.481539600303,0.12448188743077107,143.6313073991832,3
2007,9116.689275039249,8609.358072563891,507.3312024753571,10862.579800000001,2623.4433269813667,287.6582595374306,102,950.1439481690888,0.0,0.0,6971.222851187412,0.12459631089272294,143.4407994071484,2
2008,8908.011039044124,8506.196216495751,401.81482254837186,10881.575200000001,2740.6463671432825,300.5094700815003,107,992.5918860267735,0.0,0.0,7019.03961548446,0.12456279949514378,144.4246834461823,3
2009,8358.0718734143,8063.023128441912,295.0487449723869,10848.0751,3133.918082839608,343.6313687324132,121,1135.0248239949403,0.0,0.0,7080.259224647694,0.12434309271528723,145.68434618616658,2
2010,8302.820332677273,7905.569654532778,397.2506781444949,10839.7077,3320.27493386026,364.0652339759057,128,1202.518500102234,0.0,0.0,7050.314760412575,0.12422663634980648,145.06820494676083,3
2011,9538.112138133947,8946.252925674247,591.8592124597001,10865.333,2275.6529683772437,249.52335179575041,89,824.1831922950544,0.0,0.0,6927.711908520322,0.1248205717645827,142.5455125209943,2
2012,9409.364455208704,8930.46294790055,478.9015073081541,10924.623000000001,2357.2700119988585,258.4725890349626,91,853.7427940851794,0.0,0.0,6932.242267941516,0.12415025349754706,142.6387297930353,3
2013,8782.20732081495,8384.729157576101,397.47816323884916,10845.2914,2812.8985208439944,308.43185535570115,108,1018.7597646597401,0.0,0.0,6994.7152159332845,0.12414987330018624,143.92418139780423,2
2014,8199.14937614945,7893.6096955123485,305.5396806371004,10804.2412,3277.6596740892865,359.3925081238253,128,1187.0843450150592,0.0,0.0,6994.594234557202,0.12419945213845104,143.92169206907826,3
2015,9481.319925354313,9021.829982574362,459.4899427799526,10883.187600000001,2216.0142753904893,242.98402142439576,87,802.5835859169435,0.0,0.0,6952.088293721783,0.12421347520690029,143.04708423295853,2
2016,8634.434367903603,8322.849431380542,311.58493652306163,10868.8058,2901.5766272282563,318.1553319329228,112,1050.8767024451088,0.0,0.0,7012.738940708606,0.12435052709451963,144.29503993227584,3
2017,9496.090130390252,8975.614585373456,520.4755450167952,10880.190900000001,2280.5376743986253,250.05895552616508,88,825.95230764703,0.0,0.0,6964.082128329463,0.12433532440454802,143.29387095328113,2
2018,8522.985462077306,8311.361160226212,211.62430185109406,10874.143,2941.130117158198,322.49233740769716,113,1065.2019629526967,0.0,0.0,7012.167259833968,0.12426604343994477,144.28327695131622,2
2019,8939.913634956609,8460.833749392292,479.0798855643176,10862.0563,2755.3980436965244,302.1269784754961,107,997.9345652675478,0.0,0.0,6987.382524815541,0.12448713405286949,143.77330297974365,3
2020,9247.432454593196,8873.418298440361,374.01415615283395,10872.3747,2356.887347432883,258.430630200974,91,853.6042027850353,0.0,0.0,6975.482993214599,0.12435566890612083,143.52845665050617,2
2021,8900.249662615235,8487.165282175707,413.0843804395282,10879.6096,2751.365026438572,301.6847616708961,107,996.4739097614446,0.0,0.0,7013.823075422901,0.1249162603024318,144.3173472309239,2
2022,9404.892116103378,8926.894998953683,477.99711714969476,10884.1594,2317.4428553525777,254.1055762448002,90,839.3184185055521,0.0,0.0,6956.9071087041975,0.12431130611596386,143.14623680461312,3
2023,8851.343046878717,8590.021221390343,261.32182548837415,10867.6851,2642.682655922292,289.76783507919873,103,957.1119401100805,0.0,0.0,7012.036273088975,0.12608696420296805,144.28058175080196,2
